x,y,z,intensity
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
